City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bukachacha,RU,2022-09-21 04:04:40,52.9833,116.9167,53.26,49,36,7.07
1,Ushuaia,AR,2022-09-21 04:00:46,-54.8,-68.3,35.1,93,85,8.57
2,Bethel,US,2022-09-21 04:01:12,41.3712,-73.414,63.75,78,0,3.94
3,Esperance,AU,2022-09-21 04:04:41,-33.8667,121.9,67.26,50,0,11.23
4,Luancheng,CN,2022-09-21 04:04:41,37.8792,114.6517,79.29,37,2,6.58
5,Tabou,CI,2022-09-21 04:04:42,4.423,-7.3528,75.25,88,100,7.56
6,Yellowknife,CA,2022-09-21 04:00:33,62.456,-114.3525,44.56,93,27,8.01
7,New Norfolk,AU,2022-09-21 04:04:42,-42.7826,147.0587,66.7,40,72,1.97
8,Nanortalik,GL,2022-09-21 04:04:43,60.1432,-45.2371,39.6,90,11,17.63
9,Mataura,NZ,2022-09-21 04:04:43,-46.1927,168.8643,55.4,71,82,2.39
10,Barrow,US,2022-09-21 04:04:44,71.2906,-156.7887,37.42,93,100,3.44
11,Bluff,NZ,2022-09-21 04:04:44,-46.6,168.3333,51.12,74,30,7.14
12,Cozumel,MX,2022-09-21 04:02:02,20.5083,-86.9458,76.95,92,10,7.31
13,Carnarvon,AU,2022-09-21 04:04:45,-24.8667,113.6333,72.93,42,99,9.95
14,Cape Town,ZA,2022-09-21 04:04:45,-33.9258,18.4232,58.37,79,53,1.01
15,Cabo San Lucas,MX,2022-09-21 04:00:02,22.8909,-109.9124,79.52,88,85,1.99
16,Punta Arenas,CL,2022-09-21 04:03:26,-53.15,-70.9167,37.11,79,4,2.93
17,Vaini,TO,2022-09-21 04:04:46,-21.2,-175.2,75.36,88,75,9.22
18,Koumac,NC,2022-09-21 04:04:46,-20.5667,164.2833,78.8,71,9,10.22
19,Luderitz,NA,2022-09-21 04:04:47,-26.6481,15.1594,62.78,33,15,13.6
20,Tasiilaq,GL,2022-09-21 04:04:47,65.6145,-37.6368,37.56,99,100,1.25
21,Saint George,US,2022-09-21 04:01:02,37.1041,-113.5841,82.94,27,0,4.61
22,Phalaborwa,ZA,2022-09-21 04:04:48,-23.943,31.1411,61.43,78,100,11.74
23,Karia,NG,2022-09-21 04:04:48,11.7306,11.1629,74.39,85,100,5.21
24,Isangel,VU,2022-09-21 04:04:49,-19.55,169.2667,80.06,72,8,3.33
25,Kinablangan,PH,2022-09-21 04:04:49,7.6947,126.5503,85.46,70,94,5.97
26,Gao,ML,2022-09-21 04:01:50,16.6362,1.637,82.2,63,10,10.22
27,Mao,ES,2022-09-21 04:04:50,39.8885,4.2658,66.76,82,0,6.91
28,Busselton,AU,2022-09-21 04:04:50,-33.65,115.3333,61.34,70,62,19.06
29,Wick,GB,2022-09-21 04:04:51,58.4333,-3.0833,57.25,88,75,8.05
30,Sorong,ID,2022-09-21 04:04:51,-0.8833,131.25,80.22,78,79,6.46
31,Tiksi,RU,2022-09-21 04:04:52,71.6872,128.8694,34.75,100,100,13.15
32,Ancud,CL,2022-09-21 04:03:23,-41.8697,-73.8203,43.23,88,34,1.5
33,Pisco,PE,2022-09-21 04:04:52,-13.7,-76.2167,59.02,82,75,3.44
34,Castro,BR,2022-09-21 04:04:53,-24.7911,-50.0119,57.76,98,36,8.84
35,Ayagoz,KZ,2022-09-21 04:04:53,47.9714,80.4392,68.85,20,0,14.83
36,Athabasca,CA,2022-09-21 04:04:53,54.7169,-113.2854,44.64,57,12,2.66
37,Qaqortoq,GL,2022-09-21 04:04:54,60.7167,-46.0333,39.61,90,14,1.41
38,Harper,LR,2022-09-21 04:04:55,4.375,-7.7169,75.7,85,100,8.57
39,Mar Del Plata,AR,2022-09-21 04:04:55,-38.0023,-57.5575,46.87,86,100,2.3
40,Grand-Santi,GF,2022-09-21 04:04:55,4.25,-54.3833,70.74,98,65,2.13
